CustomerID,Customer Name,Phone Number,Website URL,Delivery Address Line 1,Delivery Address Line 2,Delivery Postal Code,City,StateProvinceCode,StateProvinceName,Sales Territory,Longitude,Latitude
841,"Camille Authier","(252) 555-0100","http://www.microsoft.com/CamilleAuthier/","Shop 10","516 Bojin Road","90692","Abbottsburg","NC","North Carolina","Southeast",-78.7250179,34.517114
115,"Tailspin Toys (Bethania, NC)","(252) 555-0100","http://www.tailspintoys.com/Bethania","Unit 281","49 Vitols Crescent","90368","Bethania","NC","North Carolina","Southeast",-80.3381077,36.1823602
824,"Risto Valbe","(205) 555-0100","http://www.microsoft.com/RistoValbe/","Suite 22","530 Kellnerova Lane","90146","Bazemore","AL","Alabama","Southeast",-87.7000188,33.8945496
146,"Tailspin Toys (Belgreen, AL)","(205) 555-0100","http://www.tailspintoys.com/Belgreen","Suite 118","469 Formanek Street","90735","Belgreen","AL","Alabama","Southeast",-87.8664241,34.474818
38,"Tailspin Toys (Airport Drive, MO)","(314) 555-0100","http://www.tailspintoys.com/AirportDrive","Unit 115","232 Abbasi Avenue","90211","Airport Drive","MO","Missouri","Plains",-94.5107824,37.1425588
141,"Tailspin Toys (Arrow Rock, MO)","(314) 555-0100","http://www.tailspintoys.com/ArrowRock","Shop 181","1190 Syme Street","90639","Arrow Rock","MO","Missouri","Plains",-92.9465808,39.0697466
108,"Tailspin Toys (Bernie, MO)","(314) 555-0100","http://www.tailspintoys.com/Bernie","Unit 142","848 Kommineni Street","90045","Bernie","MO","Missouri","Plains",-89.9687021,36.6689446
537,"Wingtip Toys (Akhiok, AK)","(907) 555-0100","http://www.wingtiptoys.com/Akhiok","Unit 246","1280 Tran Boulevard","90197","Akhiok","AK","Alaska","Far West",-154.1702778,56.9455556
853,"Caterina Pinto","(907) 555-0100","http://www.microsoft.com/CaterinaPinto/","Suite 13","1278 Lam Street","90112","Akhiok","AK","Alaska","Far West",-154.1702778,56.9455556
1022,"Nadir Seddigh","(907) 555-0100","http://www.microsoft.com/","Shop 30","283 Panit Road","90067","Biorka","AK","Alaska","Far West",-166.2080556,53.8269444
83,"Tailspin Toys (Absecon, NJ)","(201) 555-0100","http://www.tailspintoys.com/Absecon","Unit 148","1161 Chang Lane","90540","Absecon","NJ","New Jersey","Mideast",-74.4957076,39.4284503
566,"Wingtip Toys (Amado, AZ)","(480) 555-0100","http://www.wingtiptoys.com/Amado","Unit 175","593 Mokkapati Road","90107","Amado","AZ","Arizona","Southwest",-111.0645359,31.7078658
151,"Tailspin Toys (Antares, AZ)","(480) 555-0100","http://www.tailspintoys.com/Antares","Unit 148","307 Raju Street","90385","Antares","AZ","Arizona","Southwest",-113.8085563,35.419715
595,"Wingtip Toys (Accomac, VA)","(276) 555-0100","http://www.wingtiptoys.com/Accomac","Shop 65","1268 Gonzales Road","90378","Accomac","VA","Virginia","Southeast",-75.6654845,37.7195742
84,"Tailspin Toys (Aceitunas, PR)","(787) 555-0100","http://www.tailspintoys.com/Aceitunas","Suite 243","328 Bhat Street","90213","Aceitunas","PR","Puerto Rico (US Territory)","External",-67.0649026,18.4432783
968,"Anca Gogean","(209) 555-0100","http://www.microsoft.com/AncaGogean/","Shop 14","198 Brasseur Avenue","90558","Arrowbear Lake","CA","California","Far West",-117.0833709,34.2108413
961,"Rani Ganguly","(209) 555-0100","http://www.microsoft.com/RaniGanguly/","Unit 23","1552 Srbova Road","90567","Arrowhead Highlands","CA","California","Far West",-117.2628206,34.2300069
25,"Tailspin Toys (Avenal, CA)","(209) 555-0100","http://www.tailspintoys.com/Avenal","Shop 37","1143 Caune Crescent","90352","Avenal","CA","California","Far West",-120.1290272,36.0041223
