EmployeeKey|FirstName|LastName|MiddleName|Title|HireDate|BirthDate|EmailAddress|Phone|MaritalStatus|EmergencyContactName|EmergencyContactPhone|SalariedFlag|Gender|PayFrequency|BaseRate|VacationHours|SalesPersonFlag|DepartmentName|StartDate|EndDate|StoreKey
1|Kim|Abercrombie||Sales Region Manager|1996-07-31|1972-05-15|guy1@contoso.com|320-555-0195|M|Hazem Abolrous|320-555-0195|0|M|2|72.45|40|0|Production|1996-07-31||251
2|Sagiv|Hadaya||Sales Region Manager|1997-02-26|1977-06-03|kevin0@contoso.com|150-555-0189|S|Kevin Cook|150-555-0189|0|M|2|72.45|40|0|Marketing|1997-02-26||182
3|Luka|Abrus||Sales Region Manager|1997-12-12|1964-12-13|roberto0@contoso.com|212-555-0187|M|Ahmad Abu-Dayah|212-555-0187|1|M|2|72.45|40|0|Engineering|1997-12-12||12
4|Kirk|Nason|J.|Sales Region Manager|1998-01-05|1965-01-23|KirkNason@contoso.com|612-555-0100|S|Mrina Natarajan|612-555-0100|0|M|2|72.45|40|0|Tool Design|1998-01-05|2000-06-30|159
5|Humberto|Acevedo||Sales Region Manager|1998-01-05|1965-01-23|Humberto@contoso.com|612-555-0100|S|Gustavo Achong|612-555-0100|0|M|2|72.45|40|0|Tool Design|2000-06-30||10
6|Yoichiro|Okada||Sales State Manager|1998-01-11|1949-08-29|thierry0@contoso.com|168-555-0183|M|Gerwald Oberleitner|168-555-0183|0|M|2|55.0|40|0|Tool Design|1998-01-11||260
7|Pilar|Ackerman||Sales State Manager|1998-01-20|1965-04-19|PilarAckerman@contoso.com|913-555-0172|S|Gudmundur Adalsteinsson|913-555-0172|1|M|2|55.0|40|0|Marketing|1998-01-20|1999-08-15|116
8|Aaron|Painter|M.|Sales State Manager|1998-01-20|1965-04-19|AaronPainter@contoso.com|913-555-0172|S|Dominik Paiha|913-555-0172|1|M|2|55.0|40|0|Marketing|1999-08-16||304
9|Terry|Adams||Sales State Manager|1998-01-26|1946-02-16|jolynn0@contoso.com|903-555-0145|S|Michael Affronti|903-555-0145|0|F|2|55.0|40|0|Production|1998-01-26||110
10|David|Probst||Sales State Manager|1998-02-06|1946-07-06|ruth0@contoso.com|145-555-0130|M|Jim Ptaszynski|145-555-0130|0|F|2|55.0|40|0|Production|1998-02-06||154
11|Manoj|Agarwal||Sales State Manager|1998-02-06|1942-10-29|gail0@contoso.com|849-555-0139|M|Nupur Agarwal|849-555-0139|1|F|2|55.0|40|0|Engineering|1998-02-06||17
12|Michael|Raheem||Sales State Manager|1998-02-07|1946-04-27|barry0@contoso.com|206-555-0180|S|Amritansh Raghav|206-555-0180|0|M|2|55.0|40|0|Production|1998-02-07||142
13|David|Ahs||Sales State Manager|1998-02-24|1949-04-11|jossef0@contoso.com|122-555-0189|M|Hatim Aiad|122-555-0189|1|M|2|55.0|40|0|Engineering|1998-02-24||152
14|Miguel|Saenz||Sales Store Manager|1998-03-03|1961-09-01|terri0@contoso.com|819-555-0175|S|Peter Saddow|819-555-0175|1|F|2|25.0|40|0|Engineering|1998-03-03||257
15|Kim|Akers||Sales Store Manager|1998-03-05|1946-10-01|sidney0@contoso.com|424-555-0189|M|Cigdem Akin|424-555-0189|0|M|2|25.0|40|0|Production|1998-03-05||140
16|Kate|Taneyhill||Sales State Manager|1998-03-11|1946-05-03|taylor0@contoso.com|508-555-0165|M|Roberto Tamburello|508-555-0165|0|M|2|55.0|40|0|Production|1998-03-11||292
17|David|Alexander||Sales State Manager|1998-03-23|1946-08-12|jeffrey0@contoso.com|984-555-0185|S|Michael Alexander|984-555-0185|0|M|2|55.0|40|0|Production|1998-03-23||28
18|Pieter|Uittenbogaard||Sales Group Manager|1998-03-30|1946-11-09|jo0@contoso.com|632-555-0129|S|Sairaj Uddin|632-555-0129|0|F|2|125.0|80|0|'Human Resources Contral|1998-03-30||296
19|Michelle|Alexander||Sales State Manager|1998-04-11|1946-05-06|doris0@contoso.com|328-555-0150|M|Mark Alexieff|328-555-0150|0|F|2|55.0|40|0|Production|1998-04-11||292
