CustomerKey|GeographyKey|FirstName|MiddleName|LastName|BirthDate|MaritalStatus|Suffix|Title|EmailAddress|YearlyIncome|Education|Occupation|AddressLine1|AddressLine2|Phone|DateFirstPurchase|CustomerType|CompanyName
1|680|Jon|V|Yang|1966-04-08|M||Mr.|jon24@adventure-works.com|90000.0|Bachelors|Professional|3761 N. 14th St||1 (11) 500 555-0162|2001-07-22|Person|
2|692|Eugene|L|Huang|1965-05-14|S||Mr.|eugene10@adventure-works.com|60000.0|Bachelors|Professional|2243 W St.||1 (11) 500 555-0110|2001-07-18|Person|
3|493|Ruben||Torres|1965-08-12|M||Mr.|ruben35@adventure-works.com|60000.0|Bachelors|Professional|5844 Linden Land||1 (11) 500 555-0184|2001-07-10|Person|
4|519|Christy||Zhu|1968-02-15|S||Mrs.|christy12@adventure-works.com|70000.0|Bachelors|Professional|1825 Village Pl.||1 (11) 500 555-0162|2001-07-01|Person|
5|706|Elizabeth||Johnson|1968-08-08|S||Mrs.|elizabeth5@adventure-works.com|80000.0|Bachelors|Professional|7553 Harness Circle||1 (11) 500 555-0131|2001-07-26|Person|
6|478|Julio||Ruiz|1965-08-05|S||Mr.|julio1@adventure-works.com|70000.0|Bachelors|Professional|7305 Humphrey Drive||1 (11) 500 555-0151|2001-07-02|Person|
7|509|Janet|G|Alvarez|1965-12-06|S||Ms.|janet9@adventure-works.com|70000.0|Bachelors|Professional|2612 Berry Dr||1 (11) 500 555-0184|2001-07-27|Person|
8|568|Marco||Mehta|1964-05-09|M||Mr.|marco14@adventure-works.com|60000.0|Bachelors|Professional|942 Brook Street||1 (11) 500 555-0126|2001-07-12|Person|
9|425|Rob||Verhoff|1964-07-07|S||Mrs.|rob4@adventure-works.com|60000.0|Bachelors|Professional|624 Peabody Road||1 (11) 500 555-0164|2001-07-28|Person|
10|492|Shannon|C|Carlson|1964-04-01|S||Sr.|shannon38@adventure-works.com|70000.0|Bachelors|Professional|3839 Northgate Road||1 (11) 500 555-0110|2001-07-30|Person|
11|478|Jacquelyn|C|Suarez|1964-02-06|S||Ms.|jacquelyn20@adventure-works.com|70000.0|Bachelors|Professional|7800 Corrinne Court||1 (11) 500 555-0169|2001-07-17|Person|
12|478|Curtis||Lu|1963-11-04|M||Mr.|curtis9@adventure-works.com|60000.0|Bachelors|Professional|1224 Shoenic||1 (11) 500 555-0117|2001-07-02|Person|
13|442|Lauren|M|Walker|1968-01-18|M||Ms.|lauren41@adventure-works.com|100000.0|Bachelors|Management|4785 Scott Street||717-555-0164|2003-09-17|Person|
14|500|Ian|M|Jenkins|1968-08-06|M||Sr.|ian47@adventure-works.com|100000.0|Bachelors|Management|7902 Hudson Ave.||817-555-0185|2003-10-15|Person|
15|677|Sydney||Bennett|1968-05-09|S||Mrs.|sydney23@adventure-works.com|100000.0|Bachelors|Management|9011 Tank Drive||431-555-0156|2003-09-24|Person|
16|443|Chloe||Young|1979-02-27|S||Ms.|chloe23@adventure-works.com|30000.0|Partial College|Skilled Manual|244 Willow Pass Road||208-555-0142|2003-07-22|Person|
17|494|Wyatt|L|Hill|1979-04-28|M||Sr.|wyatt32@adventure-works.com|30000.0|Partial College|Skilled Manual|9666 Northridge Ct.||135-555-0171|2003-08-13|Person|
18|699|Shannon||Wang|1944-06-26|S||Mrs.|shannon1@adventure-works.com|20000.0|High School|Skilled Manual|7330 Saddlehill Lane||1 (11) 500 555-0195|2001-07-15|Person|
19|425|Clarence|D|Rai|1944-10-09|S||Mr.|clarence32@adventure-works.com|30000.0|Partial College|Clerical|244 Rivewview||1 (11) 500 555-0137|2001-07-20|Person|
20|499|Luke|L|Lal|1978-03-07|S||Sr.|luke18@adventure-works.com|40000.0|High School|Skilled Manual|7832 Landing Dr||262-555-0112|2003-08-16|Person|
21|511|Jordan|C|King|1978-09-20|S||Mr.|jordan73@adventure-works.com|40000.0|High School|Skilled Manual|7156 Rose Dr.||550-555-0163|2003-07-02|Person|
22|580|Destiny||Wilson|1978-09-03|S||Mrs.|destiny7@adventure-works.com|40000.0|Partial College|Skilled Manual|8148 W. Lake Dr.||622-555-0158|2003-07-27|Person|
23|583|Ethan|G|Zhang|1978-10-12|M||Mr.|ethan20@adventure-works.com|40000.0|Partial College|Skilled Manual|1769 Nicholas Drive||589-555-0185|2003-07-24|Person|
24|582|Seth|M|Edwards|1978-10-11|M||Mr.|seth46@adventure-works.com|40000.0|Partial College|Skilled Manual|4499 Valley Crest||452-555-0188|2003-08-21|Person|
25|470|Russell||Xie|1978-09-17|M||Mr.|russell7@adventure-works.com|60000.0|Partial College|Skilled Manual|8734 Oxford Place||746-555-0186|2003-12-29|Person|
26|637|Alejandro||Beck|1945-12-23|M||Mr.|alejandro45@adventure-works.com|10000.0|Partial High School|Clerical|2596 Franklin Canyon Road||1 (11) 500 555-0178|2001-07-09|Person|
27|634|Harold||Sai|1946-04-03|S||Mr.|harold3@adventure-works.com|30000.0|Partial College|Clerical|8211 Leeds Ct.||1 (11) 500 555-0131|2001-07-26|Person|
28|568|Jessie|R|Zhao|1946-12-07|M||Mr.|jessie16@adventure-works.com|30000.0|Partial College|Clerical|213 Valencia Place||1 (11) 500 555-0184|2001-07-19|Person|
29|554|Jill||Jimenez|1946-04-11|M||Mrs.|jill13@adventure-works.com|30000.0|Partial College|Clerical|9111 Rose Ann Ave||1 (11) 500 555-0116|2001-07-29|Person|
30|425|Jimmy|L|Moreno|1946-12-21|M||Sr.|jimmy9@adventure-works.com|30000.0|Partial College|Clerical|6385 Mark Twain||1 (11) 500 555-0146|2001-07-22|Person|
31|613|Bethany|G|Yuan|1947-02-22|M||Ms.|bethany10@adventure-works.com|10000.0|Partial High School|Clerical|636 Vine Hill Way||1 (11) 500 555-0182|2001-08-08|Person|
32|509|Theresa|G|Ramos|1947-08-22|M||Ms.|theresa13@adventure-works.com|20000.0|High School|Skilled Manual|6465 Detroit Ave.||1 (11) 500 555-0195|2001-08-04|Person|
33|656|Denise||Stone|1947-06-11|M||Mrs.|denise10@adventure-works.com|20000.0|High School|Skilled Manual|626 Bentley Street||1 (11) 500 555-0169|2001-08-21|Person|
34|512|Jaime||Nath|1947-09-23|M||Mr.|jaime41@adventure-works.com|20000.0|High School|Skilled Manual|5927 Rainbow Dr||1 (11) 500 555-0137|2001-08-18|Person|
35|669|Ebony||Gonzalez|1947-06-19|M||Ms.|ebony19@adventure-works.com|20000.0|High School|Skilled Manual|5167 Condor Place||1 (11) 500 555-0136|2001-08-04|Person|
36|471|Wendy||Dominguez|1948-02-24|M||Ms.|wendy12@adventure-works.com|10000.0|Partial High School|Clerical|1873 Mt. Whitney Dr||1 (11) 500 555-0177|2001-08-09|Person|
37|516|Jennifer|C|Russell|1978-12-18|M||Mrs.|jennifer93@adventure-works.com|60000.0|Partial College|Skilled Manual|3981 Augustine Drive||115-555-0183|2003-07-26|Person|
38|467|Chloe|M|Garcia|1977-11-27|S||Mrs.|chloe27@adventure-works.com|40000.0|Partial High School|Clerical|8915 Woodside Way||229-555-0112|2003-07-24|Person|
39|648|Diana|F|Hernandez|1948-03-23|M||Ms.|diana2@adventure-works.com|10000.0|Partial High School|Clerical|8357 Sandy Cove Lane||1 (11) 500 555-0114|2001-08-10|Person|
40|706|Marc|J|Martin|1948-12-17|M||Mr.|marc3@adventure-works.com|30000.0|Partial College|Clerical|9353 Creekside Dr.||1 (11) 500 555-0183|2001-08-10|Person|
41|559|Jesse||Murphy|1977-08-01|M||Sr.|jesse15@adventure-works.com|30000.0|Partial College|Skilled Manual|3350 Kingswood Circle||961-555-0176|2003-10-05|Person|
42|633|Amanda|M|Carter|1977-10-16|M||Mrs.|amanda53@adventure-works.com|60000.0|Partial College|Skilled Manual|5826 Escobar||295-555-0145|2003-07-18|Person|
43|653|Megan|J|Sanchez|1977-06-13|M||Mrs.|megan28@adventure-works.com|70000.0|Partial College|Skilled Manual|1397 Paraiso Ct.||404-555-0199|2003-07-25|Person|
44|633|Nathan|M|Simmons|1976-02-24|M||Mr.|nathan11@adventure-works.com|60000.0|Partial College|Skilled Manual|1170 Shaw Rd||296-555-0181|2003-11-09|Person|
45|492|Adam|L|Flores|1949-05-24|M||Mr.|adam10@adventure-works.com|20000.0|Partial High School|Clerical|6935 Candle Dr||1 (11) 500 555-0163|2001-08-31|Person|
46|509|Leonard|G|Nara|1950-05-19|S||Mr.|leonard18@adventure-works.com|30000.0|High School|Skilled Manual|7466 La Vista Ave.||1 (11) 500 555-0151|2003-10-12|Person|
47|648|Christine||Yuan|1950-03-22|M||Mrs.|christine4@adventure-works.com|30000.0|High School|Skilled Manual|2356 Orange St||1 (11) 500 555-0113|2001-08-09|Person|
48|632|Jaclyn|D|Lu|1950-02-27|M||Mrs.|jaclyn12@adventure-works.com|30000.0|High School|Skilled Manual|2812 Mazatlan||1 (11) 500 555-0137|2001-08-06|Person|
49|699|Jeremy||Powell|1950-11-22|M||Mr.|jeremy26@adventure-works.com|30000.0|High School|Skilled Manual|1803 Potomac Dr.||1 (11) 500 555-0183|2001-08-13|Person|
50|610|Carol|C|Rai|1980-07-18|S||Mrs.|carol8@adventure-works.com|40000.0|Partial High School|Clerical|6064 Madrid||654-555-0180|2003-09-10|Person|
51|493|Alan||Zheng|1951-09-07|M||Mr.|alan23@adventure-works.com|30000.0|High School|Skilled Manual|2741 Gainborough Dr.||1 (11) 500 555-0135|2001-08-23|Person|
52|599|Daniel||Johnson|1951-08-04|S||Mr.|daniel18@adventure-works.com|30000.0|High School|Skilled Manual|8085 Sunnyvale Avenue||1 (11) 500 555-0155|2004-07-01|Person|
53|509|Heidi||Lopez|1951-08-07|S||Mrs.|heidi19@adventure-works.com|40000.0|Partial College|Clerical|2514 Via Cordona||1 (11) 500 555-0168|2001-08-20|Person|
54|688|Ana|E|Price|1980-08-20|M||Mrs.|ana0@adventure-works.com|60000.0|Partial College|Skilled Manual|1660 Stonyhill Circle||859-555-0113|2003-07-21|Person|
55|632|Deanna||Munoz|1952-03-10|M||Mrs.|deanna33@adventure-works.com|40000.0|Partial College|Skilled Manual|5825 B Way||1 (11) 500 555-0192|2001-08-06|Person|
56|478|Gilbert||Raje|1952-03-05|M||Sr.|gilbert35@adventure-works.com|40000.0|Partial College|Skilled Manual|8811 The Trees Dr.||1 (11) 500 555-0129|2001-08-03|Person|
