ProductKey|ProductAlternateKey|ProductSubcategoryKey|WeightUnitMeasureCode|SizeUnitMeasureCode|EnglishProductName|SpanishProductName|FrenchProductName|StandardCost|FinishedGoodsFlag|Color|SafetyStockLevel|ReorderPoint|ListPrice|Size|SizeRange|Weight|DaysToManufacture|ProductLine|DealerPrice|Class|Style|ModelName|LargePhoto|EnglishDescription|FrenchDescription|ChineseDescription|ArabicDescription|HebrewDescription|ThaiDescription|GermanDescription|JapaneseDescription|TurkishDescription|StartDate|EndDate|Status
1|AR-5381||||Adjustable Race||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
2|BA-8327||||Bearing Ball||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
3|BE-2349||||BB Ball Bearing||||0|NA|800|600|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
4|BE-2908||||Headset Ball Bearings||||0|NA|800|600|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
5|BL-2036||||Blade||||0|NA|800|600|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
6|CA-5965||||LL Crankarm||||0|Black|500|375|||NA||0|||L |||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
7|CA-6738||||ML Crankarm||||0|Black|500|375|||NA||0|||M |||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
8|CA-7457||||HL Crankarm||||0|Black|500|375|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
9|CB-2903||||Chainring Bolts||||0|Silver|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
10|CN-6137||||Chainring Nut||||0|Silver|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
11|CR-7833||||Chainring||||0|Black|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
12|CR-9981||||Crown Race||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
13|CS-2812||||Chain Stays||||0|NA|1000|750|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
14|DC-8732||||Decal 1||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
15|DC-9824||||Decal 2||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
16|DT-2377||||Down Tube||||0|NA|800|600|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
17|EC-M092||||Mountain End Caps||||0|NA|1000|750|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
18|EC-R098||||Road End Caps||||0|NA|1000|750|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
19|EC-T209||||Touring End Caps||||0|NA|1000|750|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
20|FE-3760||||Fork End||||0|NA|800|600|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
21|FH-2981||||Freewheel||||0|Silver|500|375|||NA||0||||||0x4749463839619B009600F70000FDD2D2FDB7CBD30000FCA6A7FEF4F4FEE5E5A99090FED9E5FEFEFEFEC6B2FEECF4CB0000A87477FDCCCDFEE0E0F9778AFC9798FFF9FEFEF4EAEB1517FC9CA6FEF1F1B9B7B9D90000FEE6DAF32629FEF0EFFEDDDDEB0101939494FEFEF8FEE4EAFA7979F65559A2A2A2FECAD6F64547FA8387||||||||||2003-07-01 00:00:00.000||Current
22|FW-1000||||Flat Washer 1||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
23|FW-1200||||Flat Washer 6||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
24|FW-1400||||Flat Washer 2||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
25|FW-3400||||Flat Washer 9||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
26|FW-3800||||Flat Washer 4||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
27|FW-5160||||Flat Washer 3||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
28|FW-5800||||Flat Washer 8||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
29|FW-7160||||Flat Washer 5||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
30|FW-9160||||Flat Washer 7||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
31|FC-3654||||Fork Crown||||0|NA|800|600|||NA||1||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
32|FC-3982||||Front Derailleur Cage||||0|Silver|800|600|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
33|FL-2301||||Front Derailleur Linkage||||0|Silver|800|600|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
34|GP-0982||||Guide Pulley||||0|NA|800|600|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
35|GT-0820||||LL Grip Tape||||0|NA|800|600|||NA||0|||L |||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
36|GT-1209||||ML Grip Tape||||0|NA|800|600|||NA||0|||M |||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
37|GT-2908||||HL Grip Tape||||0|NA|800|600|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
38|HJ-1213||||Thin-Jam Hex Nut 9||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
39|HJ-1220||||Thin-Jam Hex Nut 10||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
40|HJ-1420||||Thin-Jam Hex Nut 1||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
41|HJ-1428||||Thin-Jam Hex Nut 2||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
42|HJ-3410||||Thin-Jam Hex Nut 15||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
43|HJ-3416||||Thin-Jam Hex Nut 16||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
44|HJ-3816||||Thin-Jam Hex Nut 5||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
45|HJ-3824||||Thin-Jam Hex Nut 6||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
46|HJ-5161||||Thin-Jam Hex Nut 3||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
47|HJ-5162||||Thin-Jam Hex Nut 4||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
48|HJ-5811||||Thin-Jam Hex Nut 13||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
49|HJ-5818||||Thin-Jam Hex Nut 14||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
50|HJ-7161||||Thin-Jam Hex Nut 7||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
51|HJ-7162||||Thin-Jam Hex Nut 8||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
52|HJ-9080||||Thin-Jam Hex Nut 12||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
53|HJ-9161||||Thin-Jam Hex Nut 11||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
54|HN-1024||||Hex Nut 5||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
55|HN-1032||||Hex Nut 6||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
56|HN-1213||||Hex Nut 16||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
57|HN-1220||||Hex Nut 17||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
58|HN-1224||||Hex Nut 7||||0|NA|1000|750|||NA||0||||||0x474946383961F0009500F70000000000800000008000808000000080800080008080808080C0C0C0FF000000FF00FFFF000000FFFF00FF00FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000||||||||||2003-07-01 00:00:00.000||Current
