ProductKey|ProductLabel|ProductName|ProductDescription|ProductSubcategoryKey|Manufacturer|BrandName|ClassID|ClassName|StyleID|StyleName|ColorID|ColorName|Size|SizeRange|SizeUnitMeasureID|Weight|WeightUnitMeasureID|UnitOfMeasureID|UnitOfMeasureName|StockTypeID|StockTypeName|UnitCost|UnitPrice|AvailableForSaleDate|StopSaleDate|Status|ImageURL|ProductURL|ETLLoadID|LoadDate|UpdateDate
1|0101001|Contoso 512MB MP3 Player E51 Silver|512MB USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101001|7|Silver|2.2 x 1.8 x 4 | | |4.8|ounces|1|inches|1|High|6.62|12.99|2005-05-03 00:00:00.000||On|||1|2008-05-25 08:01:12.000|2008-05-25 08:01:12.000
2|0101002|Contoso 512MB MP3 Player E51 Blue|512MB USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|5|Product0101002|3|Blue|2.2 x 1.8 x 4 | | |4.1|ounces|1|inches|1|High|6.62|12.99|2005-05-03 00:00:00.000||On|||1|2008-05-26 08:01:12.000|2008-05-26 08:01:12.000
3|0101003|Contoso 1G MP3 Player E100 White|1GB flash memory and USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101003|8|White|2.2  x 2.2  x 4 | | |4.5|ounces|1|inches|2|Mid|7.40|14.52|2006-05-13 00:00:00.000||On|||1|2008-05-27 08:01:12.000|2008-05-27 08:01:12.000
4|0101004|Contoso 2G MP3 Player E200 Silver|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101004|7|Silver|2.2  x 2.2  x 4 | | |4.5|ounces|1|inches|2|Mid|11.00|21.57|2006-12-16 00:00:00.000||On|||1|2008-05-28 08:01:12.000|2008-05-28 08:01:12.000
5|0101005|Contoso 2G MP3 Player E200 Red|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101005|6|Red|3.7 x 0.6 x 2.2| | |2.4|ounces|1|inches|2|Mid|11.00|21.57|2006-12-17 00:00:00.000||On|||1|2008-05-29 08:01:12.000|2008-05-29 08:01:12.000
6|0101006|Contoso 2G MP3 Player E200 Black|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|2|Product0101006|2|Black|1.6 x 0.4 x 3.7| | |8.8|ounces|1|inches|2|Mid|11.00|21.57|2006-12-18 00:00:00.000||On|||1|2008-05-30 08:01:12.000|2008-05-30 08:01:12.000
7|0101007|Contoso 2G MP3 Player E200 Blue|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101007|3|Blue|2.2 x 1.5 x 0.6 | | |2.1|ounces|1|inches|2|Mid|11.00|21.57|2006-12-19 00:00:00.000||On|||1|2008-05-31 08:01:12.000|2008-05-31 08:01:12.000
8|0101008|Contoso 4G MP3 Player E400 Silver|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|2|Product0101008|7|Silver|0.8 x 3.6 x 1.1| | |5.6|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On|||1|2008-06-01 08:01:12.000|2008-06-01 08:01:12.000
9|0101009|Contoso 4G MP3 Player E400 Black|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101009|2|Black|3.1 x 1.9 x 0.3| | |2.1|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On|||1|2008-06-02 08:01:12.000|2008-06-02 08:01:12.000
10|0101010|Contoso 4G MP3 Player E400 Green|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101010|14|Green|2.3 x 0.3 x 4| | |11|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On|||1|2008-06-03 08:01:12.000|2008-06-03 08:01:12.000
11|0101011|Contoso 4G MP3 Player E400 Orange|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101011|9|Orange|2.2 x 0.6 x 1.4| | |14.1|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On|||1|2008-06-04 08:01:12.000|2008-06-04 08:01:12.000
12|0101012|Contoso 4GB Flash MP3 Player E401 Blue|1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG|1|Contoso, Ltd|Contoso|1|Economy|3|Product0101012|3|Blue|0.8 x 3.6 x 1.1| | |7.4|ounces|1|inches|2|Mid|35.72|77.68|2007-06-16 00:00:00.000||On|||1|2008-06-05 08:01:12.000|2008-06-05 08:01:12.000
13|0101013|Contoso 4GB Flash MP3 Player E401 Black|1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG|1|Contoso, Ltd|Contoso|1|Economy|4|Product0101013|2|Black|1.7 x 3.5 x 0.5| | |2.6|ounces|1|inches|2|Mid|35.72|77.68|2007-06-16 00:00:00.000||On|||1|2008-06-06 08:01:12.000|2008-06-06 08:01:12.000
14|0101014|Contoso 4GB Flash MP3 Player E401 Silver|1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG|1|Contoso, Ltd|Contoso|1|Economy|1|Product0101014|7|Silver|0.4 x 1.6 x 3.6| | |8|ounces|1|inches|2|Mid|35.72|77.68|2007-06-16 00:00:00.000||On|||1|2008-06-07 08:01:12.000|2008-06-07 08:01:12.000
15|0101015|Contoso 4GB Flash MP3 Player E401 White|1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG|1|Contoso, Ltd|Contoso|1|Economy|4|Product0101015|8|White|3.26 x 2.16 x .44| | |2.1|ounces|1|inches|2|Mid|35.72|77.68|2007-06-16 00:00:00.000||On|||1|2008-06-08 08:01:12.000|2008-06-08 08:01:12.000
16|0101016|Contoso 8GB Super-Slim MP3/Video Player M800 White|2" color LCD, Touchpad, Plays music, video, photos and text|1|Contoso, Ltd|Contoso|2|Regular|3|Product0101016|8|White|3.8 x 0.6 x 2.2| | |11|ounces|1|inches|2|Mid|50.56|109.95|2008-01-16 00:00:00.000||On|||1|2008-06-09 08:01:12.000|2008-06-09 08:01:12.000
17|0101017|Contoso 8GB Super-Slim MP3/Video Player M800 Red|2" color LCD, Touchpad, Plays music, video, photos and text|1|Contoso, Ltd|Contoso|2|Regular|1|Product0101017|6|Red|3.8 x 0.6 x 2.2| | |11|ounces|1|inches|2|Mid|50.56|109.95|2008-01-16 00:00:00.000||On|||1|2008-06-10 08:01:12.000|2008-06-10 08:01:12.000
18|0101018|Contoso 8GB Super-Slim MP3/Video Player M800 Green|2" color LCD, Touchpad, Plays music, video, photos and text|1|Contoso, Ltd|Contoso|2|Regular|3|Product0101018|14|Green|3.1 x 1.9 x 0.3| | |2.1|ounces|1|inches|2|Mid|50.56|109.95|2008-01-16 00:00:00.000||On|||1|2008-06-11 08:01:12.000|2008-06-11 08:01:12.000
